task,domain,arm,repeat,run,reward,private_passed,private_collected,run_record_present,session_present,status,model,effort,work_seconds,prepare_seconds,stage_usage_unknown,explicit_unknown_inflight,old_stage_input,old_stage_output,trial_path
003,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,3,6,1,1,completed,deepseek-flash,low,154.95463462499902,0,0,0,625813,13701,runs/deepseek-locked89-k1-v2/jobs/task-003-baseline/task_003__JA6m45r
003,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,3,6,1,1,completed,deepseek-flash,low,128.5213547500316,9.835201833047904,0,0,431585,10216,runs/deepseek-locked89-k1-v2/jobs/task-003-science/task_003__d4BZCjt
007,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,0,4,6,1,1,completed,deepseek-flash,low,1187.3543713340769,0,0,0,6462634,99480,runs/deepseek-locked89-k1-v2/jobs/task-007-baseline/task_007__XUe9iNE
007,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,0,5,6,1,1,completed,deepseek-flash,low,829.3522792090662,8.59957687498536,0,0,4151594,66857,runs/deepseek-locked89-k1-v2/jobs/task-007-science/task_007__5dzx2LR
011,Physics,baseline,1,deepseek-locked89-k1-v2,0,3,5,1,1,completed,deepseek-flash,low,371.7515393749345,0,0,0,1851403,54319,runs/deepseek-locked89-k1-v2/jobs/task-011-baseline/task_011__LJkKt4t
011,Physics,cbe,1,deepseek-locked89-k1-v2,0,3,5,1,1,completed,deepseek-flash,low,460.2398101671133,6.895512250019237,0,0,3336017,55661,runs/deepseek-locked89-k1-v2/jobs/task-011-science/task_011__qQg7hfN
012,Physics,baseline,1,deepseek-locked89-k1-v2,0,9,10,1,1,completed,deepseek-flash,low,115.34381516603753,0,0,0,489015,13848,runs/deepseek-locked89-k1-v2/jobs/task-012-baseline/task_012__PFz4Di4
012,Physics,cbe,1,deepseek-locked89-k1-v2,0,9,10,1,1,completed,deepseek-flash,low,175.4779035829706,6.1186989159323275,0,0,1149110,18573,runs/deepseek-locked89-k1-v2/jobs/task-012-science/task_012__BNDG7vY
013,Physics,baseline,1,deepseek-locked89-k1-v2,1,5,5,1,1,completed,deepseek-flash,low,102.83559858298395,0,0,0,457063,10358,runs/deepseek-locked89-k1-v2/jobs/task-013-baseline/task_013__g8y5if7
013,Physics,cbe,1,deepseek-locked89-k1-v2,1,5,5,1,1,completed,deepseek-flash,low,126.40108874905854,7.4229400410549715,0,0,1044098,8935,runs/deepseek-locked89-k1-v2/jobs/task-013-science/task_013__DptKUAU
015,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,1,31,31,1,1,timeout,deepseek-flash,low,1800.021632125019,0,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-015-baseline/task_015__JXxXnSP
015,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,1,31,31,1,1,completed,deepseek-flash,low,893.8799274170306,6.898565000039525,0,0,6013665,80001,runs/deepseek-locked89-k1-v2/jobs/task-015-science/task_015__CSRBh3e
017,Astronomy,baseline,1,deepseek-locked89-k1-v2,1,12,12,1,1,completed,deepseek-flash,low,1282.1394714160124,0,0,0,4179586,68254,runs/deepseek-locked89-k1-v2/jobs/task-017-baseline/task_017__WsCNwKV
017,Astronomy,cbe,1,deepseek-locked89-k1-v2,1,12,12,1,1,infrastructure_failure,deepseek-flash,low,1799.3369720010087,29.264951166929677,0,0,4926018,81001,runs/deepseek-locked89-k1-v2/jobs/task-017-science/task_017__JiAn7mu
018,Biology,baseline,1,deepseek-locked89-k1-v2,0,5,5,1,1,completed,deepseek-flash,low,783.2044956249883,0,0,0,1933331,28554,runs/deepseek-locked89-k1-v2/jobs/task-018-baseline/task_018__k59UAHQ
018,Biology,cbe,1,deepseek-locked89-k1-v2,0,0,5,1,1,infrastructure_failure,deepseek-flash,low,1798.380524209002,333.80980041704606,0,0,2145676,15055,runs/deepseek-locked89-k1-v2/jobs/task-018-science/task_018__8SiDWqn
020,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,10,12,1,1,completed,deepseek-flash,low,1679.2279890410136,0,0,0,1607968,50438,runs/deepseek-locked89-k1-v2/jobs/task-020-baseline/task_020__u5uR2xm
020,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,10,12,1,1,completed,deepseek-flash,low,318.9153086669976,10.627354749944061,0,0,1756756,32496,runs/deepseek-locked89-k1-v2/jobs/task-020-science/task_020__3Za9mhX
